time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
5.54,63,16,54,26,124,37,100,53,184,58,146,79,244,77,192,106,298,105,234,146,363,122,282,171,434,133,333,182,491,155,378,208,549,186,420,251,612,206,467,278,61,20,46,27,27,7,18,4,0.0108,0.0049,0.0090,0.0040,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.62,50,30,46,43,116,41,100,53,171,60,146,81,238,76,196,102,297,104,241,152,362,119,293,171,424,138,338,199,487,158,386,223,550,178,434,252,613,190,487,277,61,19,48,27,27,6,20,4,0.0108,0.0042,0.0100,0.0040,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.70,62,23,46,33,130,41,99,58,191,63,146,85,256,84,199,114,319,102,248,145,380,135,295,188,452,152,347,212,516,173,397,236,579,205,442,281,647,219,496,297,64,21,49,29,30,8,21,6,0.0120,0.0056,0.0105,0.0060,0,0,0,0,-1.59,-1.59,-1.59,-1.59
5.79,69,22,52,27,137,45,104,59,206,65,155,87,276,86,209,115,348,99,261,126,402,126,306,170,471,143,361,193,536,166,411,223,608,190,462,252,677,208,513,268,67,20,51,26,33,7,23,3,0.0132,0.0049,0.0115,0.0030,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.87,78,15,58,19,144,37,110,48,215,58,166,73,281,84,216,109,354,98,271,136,421,121,323,165,494,143,377,194,573,155,435,198,630,179,486,232,699,200,541,258,69,20,54,25,35,7,26,2,0.0140,0.0049,0.0130,0.0020,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.95,73,22,57,31,145,46,109,75,227,60,168,94,292,90,220,131,367,111,277,162,448,120,336,182,518,143,391,210,590,166,447,240,667,188,505,265,755,204,566,282,75,20,56,28,41,7,28,5,0.0164,0.0049,0.0140,0.0050,0,0,0,0,-1.58,-1.60,-1.59,-1.60
6.04,71,41,55,56,147,64,119,87,219,92,179,135,299,115,240,162,374,136,298,188,440,165,354,226,516,190,414,255,602,210,478,275,670,234,536,315,749,257,595,347,74,25,59,34,40,12,31,11,0.0160,0.0084,0.0155,0.0110,0,0,0,0,-1.58,-1.59,-1.58,-1.59
6.12,84,18,65,21,162,44,122,53,241,69,183,84,325,83,248,105,401,114,303,140,481,140,366,173,559,176,425,218,639,200,490,248,723,215,556,274,803,237,617,306,80,23,61,30,46,10,33,7,0.0184,0.0070,0.0165,0.0070,0,0,0,0,-1.58,-1.59,-1.58,-1.59
6.20,86,25,69,36,182,43,138,56,262,74,200,94,348,98,267,123,429,123,330,157,516,154,389,197,605,177,455,228,692,191,527,245,769,215,594,279,856,243,658,327,85,24,65,32,51,11,37,9,0.0204,0.0077,0.0185,0.0090,0,0,0,0,-1.58,-1.59,-1.58,-1.59
6.29,82,30,63,45,174,55,133,76,259,82,201,107,349,108,271,142,443,128,343,166,525,155,411,198,609,192,478,247,699,215,551,279,784,243,619,312,876,269,690,348,87,26,69,34,53,13,41,11,0.0212,0.0091,0.0205,0.0110,0,0,0,0,-1.58,-1.59,-1.58,-1.59
6.37,88,29,74,34,204,52,151,60,289,84,221,100,389,109,300,129,479,136,370,161,565,174,436,210,663,197,512,241,756,223,585,275,844,258,651,322,942,283,726,352,94,28,72,35,60,15,44,12,0.0240,0.0105,0.0220,0.0120,0,0,0,0,-1.58,-1.59,-1.58,-1.59
6.45,92,37,74,44,198,66,153,71,297,98,229,112,399,129,307,144,496,156,385,170,593,189,461,216,696,218,540,246,797,245,623,269,892,281,699,311,995,308,780,345,99,30,78,34,65,17,50,11,0.0260,0.0119,0.0250,0.0110,0,0,0,0,-1.57,-1.59,-1.58,-1.59
6.54,102,28,77,33,203,62,157,73,307,92,243,104,407,122,324,141,507,155,403,183,612,187,488,220,718,206,575,250,820,240,656,293,923,277,736,345,1032,304,824,377,103,30,82,37,69,17,54,14,0.0276,0.0119,0.0270,0.0140,0,0,0,0,-1.57,-1.59,-1.57,-1.59
6.62,105,32,86,40,206,68,174,82,311,99,267,118,424,128,356,156,526,160,451,183,627,194,540,224,725,234,624,275,836,259,717,303,941,291,807,342,1043,326,896,380,104,32,89,38,70,19,61,15,0.0280,0.0133,0.0305,0.0150,0,0,0,0,-1.57,-1.59,-1.57,-1.59
6.70,106,34,94,38,207,72,183,83,318,101,281,116,422,136,375,156,525,178,470,209,631,208,567,239,737,243,660,279,841,277,756,318,950,311,853,356,1057,342,949,388,105,34,94,38,71,21,66,15,0.0284,0.0147,0.0330,0.0150,0,0,0,0,-1.57,-1.59,-1.57,-1.59
6.79,110,39,102,42,223,79,203,87,339,111,306,124,446,145,407,162,557,184,510,203,671,222,614,245,792,254,722,280,903,288,825,311,1013,325,925,354,1120,369,1023,404,112,36,102,40,78,23,74,17,0.0312,0.0161,0.0370,0.0170,0,0,0,0,-1.57,-1.58,-1.56,-1.58
6.87,120,38,108,41,243,74,216,88,358,116,325,135,472,162,433,193,593,199,543,236,719,235,655,277,845,267,770,314,964,304,882,341,1091,337,996,379,1216,369,1111,418,121,36,111,41,87,23,83,18,0.0348,0.0161,0.0415,0.0180,0,0,0,0,-1.57,-1.58,-1.56,-1.58
6.95,123,48,107,60,250,89,220,124,394,121,337,163,514,162,450,206,636,209,566,268,768,247,685,312,895,285,803,341,1021,327,918,381,1143,376,1033,438,1270,416,1152,486,127,41,115,48,93,28,87,25,0.0372,0.0196,0.0435,0.0250,0,0,0,0,-1.56,-1.58,-1.56,-1.58
7.04,129,42,125,50,261,85,251,101,398,128,378,145,538,166,505,192,672,205,636,226,803,249,763,275,927,300,886,335,1059,344,1014,380,1197,385,1143,423,1332,424,1273,467,133,42,127,46,99,29,99,23,0.0396,0.0203,0.0495,0.0230,0,0,0,0,-1.56,-1.58,-1.55,-1.58
